time,open,high,low,close,volume,atr_14,atr_5,rsi_14,ema_12,ema_26,ema_12_slope,ema_26_slope,sma_50,sma_200,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_middle,bb_width,bb_position,vwap,price_to_vwap,stoch_k,stoch_d,swing_high_dist,swing_low_dist,bullish_ob,bearish_ob,fvg_up,fvg_down,fvg_size,liquidity_sweep_high,liquidity_sweep_low,premium_discount,bar_direction,delta,cvd,price_change,cvd_change,cvd_divergence,volume_ma,volume_ratio,price_range_norm,absorption_score,hour,minute,dayofweek,minutes_since_london,minutes_since_ny,session_position,atr_percentile,tick_volatility,range_expansion,volatility_regime,true_range,tr_percentile,price_velocity,price_acceleration,returns_1m,returns_5m,returns_15m,momentum,dist_to_high,dist_to_low,sentiment,h4_bias,in_discount,in_premium,inducement_taken,entry_zone_present,smc_quality_score
2026-04-02 16:59:00,4662.08113,4662.22202,4661.93525,4661.93525,250.0,2.1485691760419217,1.7742345788502498,50.94596135893322,4662.49123462855,4661.608075117696,-0.1010881142819926,0.026173990583629347,4658.3302696,4660.8269153,0.8831595108540569,1.125729025727734,-0.24256951487367706,4667.479745565106,4658.009749434896,4662.744747500001,9.469996130210347,0.4145153872918099,4659.156779068093,1.0005963248295824,29.856452124155453,32.17381837583682,5.046959999999672,0.14772000000084518,0,0,-1.3738299999995434,0.3345499999995809,0.3345499999995809,0,0,0.7074065250432574,-1.0,-250.0,26566.120867496,-3.703260492948779e-05,-0.009322750342426578,0.00928571773749709,1044.9389430192025,0.2392484056081019,0.1334640079530376,1.7792746865887037,16,59,3,539,209,0.9952380952380953,0.9083333333333333,1.7576854453819972,0.3299012953542579,-0.9383129166136867,0.28676999999970576,0.9666666666666667,-0.44906666666641587,0.03864000000036566,-3.703260492948779e-05,-0.0010833981684637006,-0.000356285087268593,3.3993200000004435,3.7282612369186854,7.099324628512514,0.0,0,0,1,0,1,2
2026-04-03 13:00:00,4676.53466,4676.56415,4676.49068,4676.56415,495.3645956262973,3.0400213777531917,4.34516766308014,71.32778537204953,4664.65629853185,4662.715932516385,2.165063903299597,1.1078573986887932,4658.7195012,4661.2627591,1.9403660154648605,1.2886564236751594,0.6517095917897011,4670.942422327453,4655.689499672548,4663.315961,15.252922654904978,1.3685582720051657,4659.268677385278,1.003712035823876,100.0,53.74154961190317,0.0,14.776620000000548,0,1,13.833990000000085,-14.776620000000548,13.833990000000085,0,0,0.8317878451182258,1.0,495.3645956262973,27061.4854631223,0.00313794577048232,0.018646478275734513,-0.015508532505252193,1001.9073396753981,0.49442151640952725,0.02416679825282783,19.64578534951192,13,0,4,300,-30,0.0,0.5916666666666667,4.704020432071344,0.256109038938703,-0.3036686258380883,0.07347000000027037,1.0,4.669193333333472,5.1182599999998875,0.00313794577048232,0.0027860903038203766,0.0038699325863094103,15.870899999999892,0.0,9.829541747469603,0.0,1,0,1,0,1,3
2026-04-03 13:01:00,4676.46663,4676.64418,4676.41625,4676.41625,1481.0747587605783,2.839157707913679,3.5217201304641153,71.00656140111504,4666.4655218346425,4663.730770848504,1.809223302792816,1.014838332119325,4659.185287,4661.67807225,2.7347509861383514,1.5778753361677977,1.1568756499705537,4673.411667255159,4654.3696757448415,4663.8906715,19.04199151031753,1.1577811315113815,4659.624929237118,1.0036035562212677,98.72526648993876,76.19390620469808,0.22793000000001484,14.628720000000612,1,0,14.194230000000061,-14.708929999999782,14.194230000000061,1,0,0.8305303344893282,-1.0,-1481.0747587605783,25580.41070436172,-3.1625782359934185e-05,-0.05472998741251278,0.05469836163015285,1063.461077613427,1.3926928316126606,0.08027802455716518,17.134924713052538,13,1,4,301,-29,0.0,0.6416666666666667,5.925339065973079,3.0981378279078045,-0.4664341472380392,0.22793000000001484,0.9833333333333333,4.769450000000082,0.10025666666660982,-3.1625782359934185e-05,0.0028164281578098027,0.003373532467514373,16.42468000000008,0.08027802455716518,10.472842925501675,0.0,1,0,1,1,1,4
2026-04-03 13:02:00,4676.43128,4676.43128,4676.39357,4676.42986,250.0,2.639054300205531,2.8249181043712133,71.01949530965088,4667.998496937005,4664.671444118985,1.5329751023627978,0.9406732704810565,4659.6455212,4662.06826475,3.3270528180200927,1.9277108325382568,1.3993419854818359,4675.31518178323,4653.44260921677,4664.3788955,21.872572566460804,1.050957568782832,4659.52723804989,1.0036275185708394,98.8013825039426,99.17554966462713,0.21432000000004336,14.642330000000584,0,0,-0.17057999999997264,0.05940000000009604,0.05940000000009604,0,0,0.8306460526749893,-1.0,-250.0,25330.41070436172,2.9103482821479787e-06,-0.009773103445808728,0.009776013794090876,1026.2342384469516,0.24360907702458748,0.014288668152775099,15.933963285112519,13,2,4,302,-28,0.0,0.725,6.50259459479501,0.16537297723809924,-0.632358091037192,0.037709999999606225,1.0,4.8315366666665795,0.06208666666649787,2.9103482821479787e-06,0.0029754684563538802,0.0035275364242772778,15.901730000000498,0.0812078323663579,11.27206165917737,0.0,1,0,1,0,1,3
2026-04-03 13:03:00,4676.3487,4676.47317,4676.3487,4676.4009,808.7982065717054,2.4594411359051827,2.284828483497102,70.94697009402454,4669.2911743313125,4665.540292702764,1.2926773943072476,0.8688485837792541,4660.0869144,4662.46809375,3.750881628548086,2.2923449917402228,1.4585366368078634,4676.9582303534735,4652.758587646527,4664.858409,24.19964270694618,0.9769654429708526,4659.7341503014695,1.0035767382436995,98.63941925885825,98.72202275091324,0.24328000000059546,14.465649999999187,0,1,-0.29548000000067987,-0.05691999999999098,-0.05691999999999098,0,0,0.8208481977304815,1.0,808.7982065717054,26139.208910933423,-6.192758336465154e-06,0.031929928654194084,-0.03193612141253055,1054.1741487755367,0.7672338871027775,0.050607000705783035,14.866856756060269,13,3,4,303,-27,0.0,0.7916666666666666,6.879271067306612,3.291986247076231,-0.7864166206319165,0.124470000000656,0.9666666666666667,-0.054416666666838864,-4.885953333333418,-6.192758336465154e-06,0.0030657806096678897,0.0034057878328910274,16.255419999999503,0.09891275915215028,12.083453114949249,0.0,1,0,1,0,1,3
2026-04-03 13:04:00,4676.39659,4676.47187,4676.39357,4676.47187,508.7884596636391,2.2893596261976787,1.8435227867977069,71.02506000420347,4670.39589674188,4666.350039169226,1.1047224105677742,0.8097464664615472,4660.5136786,4662.85342655,4.045857572654313,2.6430475079230407,1.4028100647312725,4678.594303478289,4652.410019521711,4665.5021615,26.18428395657793,0.9189389568298382,4659.783538194308,1.0035813319032467,99.03632987707392,98.82571054662493,0.1723099999999249,0.12317000000075495,0,0,-0.037709999999606225,-0.0783000000001266,-0.037709999999606225,0,0,0.8214855993663562,1.0,508.7884596636391,26647.997370597062,1.5176200997002454e-05,0.01946456992624679,-0.019449393725249786,1005.9975499266739,0.5057551175201296,0.034200209998971144,14.367957393859642,13,4,4,304,-26,0.0,0.8458333333333333,7.271140946764214,0.628562254151997,-0.9365247120306559,0.0783000000001266,0.9666666666666667,0.018540000000029977,0.07295666666686884,1.5176200997002454e-05,0.0031181514157665458,0.003503407794900104,13.485779999999977,0.07526230121214077,13.012118518759912,0.0,1,0,1,0,0,2
2026-04-03 13:05:00,4676.42811,4676.47474,4676.39357,4676.47474,527.4375385767992,2.13163179575495,1.4910522294380604,71.028451310203,4671.331103396976,4667.100017008543,0.9352066550954987,0.7499778393166707,4660.9457278,4663.22171035,4.231086388433141,2.960655284025061,1.2704311044080803,4679.910578309528,4652.887625690472,4666.399102,27.022952619056014,0.8728515849794956,4659.914445958517,1.0035537548764377,98.94953046913051,98.87509320168759,0.16944000000057713,0.12604000000010274,0,0,-0.07960000000002765,-0.12604000000010274,-0.07960000000002765,0,0,0.8215113756478065,1.0,527.4375385767992,27175.434909173862,6.13710523511557e-07,0.01979276458345658,-0.019792150872933068,918.5277523197863,0.5742205173688858,0.038077022710414715,14.694582072544792,13,5,4,305,-25,0.0,0.9333333333333333,7.232404056321529,1.035331632644685,-1.0801774775550859,0.08116999999947438,0.95,0.01495999999982208,-0.003580000000207898,6.13710523511557e-07,-1.911873699000921e-05,0.0028927064631238952,15.486329999999725,0.07948467079113494,13.97623756390421,0.0,1,0,1,0,0,2
2026-04-03 13:06:00,4676.43584,4676.55776,4676.27478,4676.33863,1838.7861853813477,1.9995852389153073,1.2494377835504387,70.60638447594897,4672.101492105134,4667.784358711614,0.7703887081579524,0.6843417030713681,4661.3572254,4663.56490025,4.317133393519725,3.231950905923994,1.0851824875957314,4681.086755096561,4653.27598690344,4667.181371000001,27.810768193121476,0.8292672827187929,4660.406556341726,1.0034185801439868,98.10569543699174,98.6971852610654,0.21912999999949534,0.06385000000045693,1,0,-0.1970900000005713,-0.16418999999950756,-0.16418999999950756,0,0,0.8202889332544324,-1.0,-1838.7861853813477,25336.648723792514,-2.9105257179140587e-05,-0.06766354214852366,0.06763443689134452,963.082649320103,1.909271229994988,0.14151227127797852,13.397240903352406,13,6,4,306,-24,0.0,0.9666666666666667,6.88165405015693,3.481973668042112,-1.2064620098704544,0.28297999999995227,0.8833333333333333,-0.020756666666481276,-0.035716666666303354,-2.9105257179140587e-05,-1.6598180283877717e-05,0.0032933400922146028,15.731179999999767,0.15279904759700047,14.831074122488902,0.0,1,0,1,0,1,3
2026-04-03 13:07:00,4676.36372,4676.60882,4676.30843,4676.55531,1951.9152669001712,1.8782141504213805,1.0596282268404178,70.9028085211877,4672.7866948581905,4668.43405880705,0.6852027530567284,0.6497000954359464,4661.8085872,4663.8686594499995,4.352636051140507,3.456087934967297,0.8965481161732103,4682.0755322227915,4653.943583777208,4668.009558,28.131948445583475,0.8037710537336148,4660.94325797635,1.003349526227761,99.40181669487743,98.81901420033324,0.05351000000064232,0.28052999999999884,0,1,-0.16630999999961205,-0.21525000000019645,-0.16630999999961205,0,0,0.8222349975979545,1.0,1951.9152669001712,27288.563990692684,4.6335395518459777e-05,0.07703920467852621,-0.07699286928300775,1045.0307800429543,1.8678063052260627,0.15992532449001925,11.60666483752783,13,7,4,307,-23,0.0,0.9791666666666666,6.086795914007684,1.0611487918623173,-1.3267077033590664,0.3003900000003341,0.8333333333333334,0.02781333333314251,0.04856999999962379,4.6335395518459777e-05,2.682601979620003e-05,0.003421841502656342,13.71606999999949,0.04731370414292003,15.904772901432612,0.0,1,0,1,0,1,3
2026-04-03 13:08:00,4676.4653,4676.6605,4676.39357,4676.47709,1734.494298054674,1.7631224253912658,0.9010885814722892,70.62591793289373,4673.354447956931,4669.029838895417,0.567753098740468,0.5957800883670643,4662.284478400001,4664.13955425,4.324609061513911,3.62979216027662,0.6948169012372909,4682.894355084756,4654.719656915244,4668.807006,28.17469816951234,0.7722303085847827,4661.521435447459,1.0032082989296123,98.76682330429205,98.75811181205376,0.1834099999996397,0.20231000000057975,0,0,-0.16418999999950756,-0.38572000000021944,-0.16418999999950756,0,0,0.8215324816622452,1.0,1734.494298054674,29023.058288747357,-1.6725986289989336e-05,0.06356121555704641,-0.0635779415433364,1114.6912216393914,1.5560310414041172,0.151387593621685,10.211008681370053,13,8,4,308,-22,0.0,0.9833333333333333,4.593239062274389,0.8883157509383938,-1.4441405479080087,0.26692999999977474,0.8833333333333333,0.0007833333335535523,-0.027029999999588956,-1.6725986289989336e-05,1.6292444046106525e-05,0.002924795236989519,9.485630000000128,0.10401977502012562,16.89857137189492,0.0,1,0,1,0,0,2
