time,open,high,low,close,volume
2026-04-06 13:00:00,4675.44663,4677.47982,4675.14985,4676.37582,1720.4810024701585
2026-04-06 13:01:00,4676.49684,4676.49684,4674.00432,4674.97162,1840.510095957014
2026-04-06 13:02:00,4675.16574,4676.7467,4674.94121,4675.94821,1333.197957548677
2026-04-06 13:03:00,4676.03864,4676.03864,4673.19259,4674.12051,2101.561375073862
2026-04-06 13:04:00,4674.21229,4674.21229,4672.69284,4673.10109,1062.2330348225994
2026-04-06 13:05:00,4672.70818,4673.11557,4670.62486,4670.62486,1671.0679038435735
2026-04-06 13:06:00,4670.34815,4670.6147,4668.83492,4668.83492,1169.6766561512914
2026-04-06 13:07:00,4668.75301,4668.97003,4665.92521,4665.92521,2001.0646687697176
2026-04-06 13:08:00,4666.29037,4666.29037,4662.20477,4664.18118,2634.808544941436
2026-04-06 13:09:00,4664.0639,4665.87477,4664.0639,4665.87477,1078.7721012248944
2026-04-06 13:10:00,4664.95211,4669.91493,4664.95211,4669.91493,2768.4497959709124
2026-04-06 13:11:00,4669.83947,4669.88114,4669.83947,4669.86217,250.0
2026-04-06 13:12:00,4669.75904,4669.95909,4669.71242,4669.71242,250.0
2026-04-06 13:13:00,4669.77472,4670.35884,4669.72554,4670.29894,377.26969451429454
2026-04-06 13:14:00,4670.54625,4670.54625,4666.55575,4668.46219,2226.0527101168664
2026-04-06 13:15:00,4668.48364,4668.82008,4668.43031,4668.73376,250.0
2026-04-06 13:16:00,4668.64312,4668.82907,4668.48145,4668.52181,250.0
2026-04-06 13:17:00,4668.53243,4668.53408,4668.50344,4668.50952,250.0
2026-04-06 13:18:00,4668.44033,4668.59221,4668.07878,4668.20406,331.1116485288315
2026-04-06 13:19:00,4667.93571,4668.31614,4666.62551,4666.62551,1051.916699332594
2026-04-06 13:20:00,4666.48044,4666.6463,4664.98119,4664.98119,992.3951200032952
2026-04-06 13:21:00,4665.01553,4665.04945,4664.67456,4664.74816,250.0
2026-04-06 13:22:00,4664.71438,4664.97246,4664.71438,4664.97246,250.0
2026-04-06 13:23:00,4664.10203,4669.10651,4664.10203,4669.10651,2982.638702640639
2026-04-06 13:24:00,4668.84559,4670.95705,4668.84559,4670.95705,1258.4169214540452
2026-04-06 13:25:00,4670.98077,4672.20366,4670.71462,4671.5702,887.4585039367772
2026-04-06 13:26:00,4671.19876,4671.56357,4668.96336,4668.96336,1498.503058716745
2026-04-06 13:27:00,4669.41056,4673.3722,4668.8381,4671.09852,2613.005379767798
2026-04-06 13:28:00,4671.07007,4671.31385,4670.93279,4671.31385,250.0
