time,open,high,low,close,volume,atr_14,atr_5,rsi_14,ema_12,ema_26,ema_12_slope,ema_26_slope,sma_50,sma_200,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_middle,bb_width,bb_position,vwap,price_to_vwap,stoch_k,stoch_d,swing_high_dist,swing_low_dist,bullish_ob,bearish_ob,fvg_up,fvg_down,fvg_size,liquidity_sweep_high,liquidity_sweep_low,premium_discount,bar_direction,delta,cvd,price_change,cvd_change,cvd_divergence,volume_ma,volume_ratio,price_range_norm,absorption_score,hour,minute,dayofweek,minutes_since_london,minutes_since_ny,session_position,atr_percentile,tick_volatility,range_expansion,volatility_regime,true_range,tr_percentile,price_velocity,price_acceleration,returns_1m,returns_5m,returns_15m,momentum,dist_to_high,dist_to_low,sentiment,h4_bias,in_discount,in_premium,inducement_taken,entry_zone_present,smc_quality_score,forward_return_15m,label
2026-04-06 16:59:00,4660.52277,4660.52277,4658.98575,4659.58661,1822.2796576014205,1.276143231255619,1.3082076910246216,31.38167514615921,4662.636732018821,4664.105274309627,-0.5545676397850912,-0.36149314477006556,4666.2386942,4671.2979585,-1.468542290805999,-0.9977113936849696,-0.47083089712102943,4667.747434333347,4659.861130666652,4663.804282499999,7.886303666695312,-0.034809360293169424,4666.095228913947,0.9986051037419629,8.346866000898467,6.166147847014847,4.722649999999703,0.6008600000004662,0,0,-2.5601699999997436,0.2797500000006039,0.2797500000006039,0,0,0.14709637393606562,-1.0,-1822.2796576014205,-10999.094352242726,-0.00017914688579312443,0.19857431126570746,-0.19875345815150058,1542.7628016996534,1.1811793345522017,1.204331558716731,0.9799621739015587,16,59,0,539,209,0.9952380952380953,0.875,2.557332460159933,1.6616612071475052,-1.0491114093564973,1.5370199999997567,0.35,-0.40433666666649515,0.33022000000012974,-0.00017914688579312443,-0.0010183698941127473,-0.0012248920010756725,-3.6169599999993807,10.348795336610861,0.47080367228221554,0.0,0,1,0,0,1,2,-0.0008642504876630319,-1
2026-04-07 13:00:00,4652.40995,4652.67762,4651.75038,4651.75038,639.0990140296263,1.7447208575944952,2.613812152819675,19.181730778321466,4660.96190863131,4663.190096953358,-1.6748233875114238,-0.9151773562689414,4665.9938812,4671.19448355,-2.2281883220484815,-1.243806779357672,-0.9843815426908096,4669.718741135317,4656.618459864681,4663.168600499999,13.100281270635605,-0.3715983347441026,4665.933300319647,0.9969603037371525,0.0,2.7822886669661653,10.906399999999849,0.0,0,0,-9.596019999999953,7.7438899999997375,7.7438899999997375,0,0,0.0,-1.0,-639.0990140296263,-11638.193366272353,-0.0016817436085816428,0.05810469421960307,-0.05978643782818471,1439.3253368322453,0.44402676258969914,0.5314241837287106,0.8339718145033526,13,0,1,300,-30,0.0,0.7166666666666667,4.314872394903176,0.6032320183200597,-0.5600081454215328,0.9272399999999834,0.5,-3.1893566666664506,-2.7850199999999554,-0.0016817436085816428,-0.0023323341637337958,-0.00245607763591571,-10.795169999999416,12.060728130572299,0.0,0.0,-1,1,0,0,1,3,0.0011104228683911366,1
2026-04-07 13:01:00,4651.88919,4651.88919,4649.57903,4650.66079,1568.416586044738,1.7851093677663168,2.5530817222557394,18.12652559889662,4659.37712114957,4662.262000141998,-1.5847874817400225,-0.9280968113598647,4665.6996727999995,4671.07116525,-2.8848789924286393,-1.5720212219718654,-1.3128577704567739,4670.924540824085,4653.996430175915,4662.4604855,16.928110648170332,-0.19704623514211964,4665.604660897528,0.9967969916734537,6.514526944629551,4.953797648509348,10.885129999999663,1.0817600000000311,0,0,-10.943739999999707,7.096559999999954,7.096559999999954,0,0,0.021677127900786325,-1.0,-1568.416586044738,-13206.60995231709,-0.00023423225904062317,0.13476460965067227,-0.1349988419097129,1490.9808427046796,1.051936038296766,1.294055499434504,0.8122710098185769,13,1,1,301,-29,0.0,0.7,5.2855364400691816,2.4911682877909263,-0.5306458651962479,2.310159999999996,0.13333333333333333,-3.2535733333334065,-0.06421666666695591,-0.00023423225904062317,-0.0021753413205092276,-0.002548985285516392,-13.150080000000344,12.398209644000122,0.6059569367785399,0.0,-1,1,0,0,1,3,0.0010434108654913121,1
2026-04-07 13:02:00,4650.16874,4653.4403,4650.16874,4653.4403,2221.1314221702155,1.8912844129258752,2.6967773778046187,28.875309422338205,4658.463764049636,4661.60854087222,-0.913357099933819,-0.6534592697780681,4665.4108232,4670.9490756000005,-3.14477682258439,-1.8865723420943703,-1.2582044804900199,4670.995067085512,4652.674703914488,4661.8348855,18.320363171023928,0.04178912281664761,4665.2140748340735,0.9974762413057934,23.253168406570015,9.922565117066531,7.906100000000151,3.8612700000003315,0,1,-2.5088800000003175,-1.6899199999998018,-1.6899199999998018,0,0,0.07737505883881267,1.0,2221.1314221702155,-10985.478530146875,0.0005976591554424093,-0.16818331352176563,0.16878097267720804,1528.2655265769451,1.4533673881975424,1.7297171202437898,0.8397486632551601,13,2,1,302,-28,0.0,0.6458333333333334,5.318020823361569,1.416100352341356,-0.42793029577230646,3.271560000000136,0.08333333333333333,-2.048770000000028,1.2048033333333783,0.0005976591554424093,-0.0016901119467603865,-0.002223625762079906,-10.277039999999943,10.232658082478288,2.0415046109146813,0.0,-1,1,0,0,1,3,8.706246859979672e-05,0
2026-04-07 13:03:00,4653.21622,4653.42689,4652.57445,4652.57445,578.739582802683,1.818039097716894,2.3305919022437225,27.657207738519176,4657.557715734307,4660.93934895576,-0.9060483153289169,-0.6691919164604769,4665.093607,4670.837007,-3.38163322145283,-2.1855845179660625,-1.1960487034867677,4670.937202212352,4651.380978787649,4661.1590905,19.556223424702694,0.0610273816009609,4665.080235406828,0.9973192561525872,18.038885058130226,15.935526803109942,7.948319999999512,2.9954200000001947,1,0,0.6852600000001985,-3.847859999999855,0.6852600000001985,0,0,0.06002449938671769,-1.0,-578.739582802683,-11564.218112949558,-0.00018606663977194238,0.05268223693801577,-0.05286830357778771,1537.4686430909699,0.37642364139330003,0.46885301629017356,0.8011519099428893,13,3,1,303,-27,0.0,0.6833333333333333,5.069597237925458,0.2605527469234654,-0.5248829071717126,0.8524399999996604,0.5666666666666667,0.27468999999988836,2.3234599999999164,-0.00018606663977194238,-0.001683766153589894,-0.00238927215944873,-11.356700000000274,11.121118304639198,1.6475197105445105,0.0,-1,1,0,0,1,3,0.00012563366933338038,0
2026-04-07 13:04:00,4653.22394,4660.43784,4652.16626,4656.28863,4000.0,2.2790063050228038,3.518789521794904,39.45589590403559,4657.362471775183,4660.594851255333,-0.1952439591241273,-0.3444977004264729,4664.82408,4670.76146235,-3.2323794801504846,-2.394943510402947,-0.8374359697475375,4670.512152585584,4650.904781414415,4660.7084669999995,19.60737117116878,0.2745814867498797,4664.618505733062,0.9982142214750795,40.40625461071408,27.232769358471447,4.149209999999584,6.709600000000137,0,1,-1.274040000000241,-10.269099999999526,-1.274040000000241,0,0,0.13445205716897898,1.0,4000.0,-7564.218112949558,0.0007983064086163338,-0.3458945482462682,0.34669285465488453,1654.533444186773,2.4175998208401737,3.629308550360431,0.6659488545677874,13,4,1,304,-26,0.0,0.5375,4.51669284303742,9.702277898987644,-0.015090530915006155,8.27157999999963,0.03333333333333333,1.875946666666702,1.6012566666668135,0.0007983064086163338,-0.0007077838177580453,-0.001638643400642903,-9.053139999999985,7.24211940602501,2.9439609662845467,0.0,-1,1,0,0,1,3,-0.000931578848452963,-1
2026-04-07 13:05:00,4656.31343,4656.38678,4656.14378,4656.20553,250.0,2.133577283235424,2.86363161743582,39.3014523399879,4657.184480732847,4660.26971634753,-0.17799104233563412,-0.3251349078027488,4664.5461738,4670.7075943,-3.08523561468337,-2.5330019312590317,-0.5522336834243382,4670.279890816223,4650.437239183778,4660.358565,19.842651632445268,0.2907001469892168,4664.563210262631,0.9982082395056696,39.90581348782398,32.78365105222277,4.232309999999416,6.626500000000306,1,0,2.7168900000006033,-3.812329999999747,2.7168900000006033,0,0,0.13278683629877522,-1.0,-250.0,-7814.218112949558,-1.7846831801726637e-05,0.033050342582270575,-0.0330681894140723,1467.0334441867728,0.1704119179760021,0.11388788825225143,1.4832888006596516,13,5,1,305,-25,0.0,0.5833333333333334,4.052245587970275,0.029377345351789996,-0.19473204502394784,0.2429999999994834,0.8666666666666667,0.9217433333333247,-0.9542033333333773,-1.7846831801726637e-05,0.0009577362575503567,-0.0019583216944039084,-9.886539999999513,7.77468089028208,3.1056711584575445,0.0,-1,1,0,0,1,3,-0.0009008923624554965,-1
2026-04-07 13:06:00,4655.89447,4658.26557,4655.89447,4658.26557,1286.9172548727722,2.1505431915757067,2.7651252939485333,45.044331929457684,4657.350802158562,4660.121261062529,0.16632142571506847,-0.14845528500154614,4664.3023654,4670.6328213,-2.7704589039667553,-2.5804933258005764,-0.18996557816617887,4670.052596510631,4650.236535489369,4660.144566,19.816061021261703,0.40517608340060157,4664.438385418262,0.9986766005302545,52.31169472489162,44.207920941143236,2.172270000000026,8.0968299999995,0,1,-4.543369999999413,-6.099309999999605,-4.543369999999413,0,0,0.17406748132236763,1.0,1286.9172548727722,-6527.300858076786,0.00044242892344992235,-0.16468919043098118,0.1651316193544311,1490.758230554077,0.8632635005262441,1.102507384436076,0.7822906422754902,13,6,1,306,-24,0.0,0.575,3.8120342074073803,9.753599341852842,-0.18826359453155755,2.3710999999993874,0.16666666666666666,1.8970399999998335,0.9752966666665088,0.00044242892344992235,0.0016352041878331391,-0.0016773136668947197,-7.45814000000064,6.755476713622307,4.039042847286698,0.0,-1,1,0,0,1,3,-0.0011062851446659305,-1
2026-04-07 13:07:00,4658.12044,4658.23645,4658.00873,4658.00873,250.0,2.0152786778917284,2.263468235158829,44.479289650344576,4657.452021826475,4659.964777280119,0.10121966791302839,-0.1564837824098504,4664.0185906,4670.5615563,-2.5127554536438765,-2.5669457513692366,0.054190297725360104,4669.6552968414035,4650.053621158597,4659.854459,19.601675682806672,0.40583613291628656,4664.4072555483845,0.9986282018141546,50.764964303671874,47.66082417212917,2.429110000000037,5.842469999999594,1,0,1.6219499999997424,-2.0926699999999983,1.6219499999997424,0,0,0.16892072646913028,-1.0,-250.0,-6777.300858076786,-5.513640133658626e-05,0.038300670588923946,-0.03835580699026053,1429.186067799475,0.17492472683592106,0.11299117257655443,1.5345462537324523,13,7,1,307,-23,0.0,0.6208333333333333,3.4282675460269196,0.09603576248348146,-0.36347350155151203,0.22772000000077242,0.8833333333333333,0.5733666666665158,-1.3236733333333177,-5.513640133658626e-05,0.0009817317308227214,-0.0016535441186680266,-7.992030000000341,7.336318559977526,4.182687895069886,0.0,-1,1,0,0,1,3,-0.000418039147814131,0
2026-04-07 13:08:00,4657.9749,4658.06215,4656.36012,4656.68059,963.294158929113,1.9929037723279954,2.1511805881269566,41.57500622341444,4657.333340007017,4659.721504148259,-0.11868181945828837,-0.24327313186040556,4663.8037052,4670.49671485,-2.3881641412417594,-2.5311894293437414,0.143025288101982,4669.228441920389,4649.776801079611,4659.5026215,19.451640840778055,0.35491882073178055,4664.306205958151,0.9983650910858042,48.210788290474795,50.42914910634611,3.757249999999658,4.514329999999973,0,0,-1.9054499999992913,-2.1676799999995637,-1.9054499999992913,0,0,0.1423064491339161,-1.0,-963.294158929113,-7740.5950170058995,-0.00028513042310240877,0.14213536909477997,-0.14242049951788238,1464.8507757459306,0.6576056135670362,0.8540023976027672,0.7691272157959009,13,8,1,308,-22,0.0,0.6291666666666667,3.0404335288038786,7.470941971704403,-0.4067769640819205,1.7020299999994677,0.3,0.15835333333325252,-0.4150133333332633,-0.00028513042310240877,0.0008825522394380059,-0.0019974643124576197,-7.656039999999848,6.61323886236545,3.5632446353600455,0.0,-1,1,0,0,0,2,0.00043599511728587004,0
