time,open,high,low,close,volume
2026-04-06 01:02:00,4627.71909,4630.23307,4627.70142,4630.23307,1000.0
2026-04-06 01:03:00,4630.13815,4630.24107,4630.04139,4630.04139,250.0
2026-04-06 01:04:00,4629.94836,4630.2507,4629.94836,4630.2507,1000.0
2026-04-06 01:05:00,4630.16732,4630.24666,4629.65899,4629.65899,1320.5919034627482
2026-04-06 01:06:00,4628.7469,4635.67987,4628.7469,4635.67987,4000.0
2026-04-06 01:07:00,4635.83884,4638.12247,4635.63879,4637.35183,1617.3213733375505
2026-04-06 01:08:00,4637.67046,4641.68676,4637.28602,4639.48721,1771.8627198349027
2026-04-06 01:09:00,4639.65253,4639.65253,4636.70934,4637.59508,1173.6775047703163
2026-04-06 01:10:00,4637.68106,4640.18194,4637.62086,4639.92893,1011.6248296567469
2026-04-06 01:11:00,4639.8983,4639.98714,4639.14646,4639.36582,335.24414146236364
2026-04-06 01:12:00,4639.28422,4639.95576,4639.28422,4639.95576,270.3810474780175
2026-04-06 01:13:00,4640.09467,4642.01102,4639.84268,4640.9965,932.2143928873746
2026-04-06 01:14:00,4640.89024,4641.60155,4640.80193,4641.60155,368.7705802598409
2026-04-06 01:15:00,4641.63352,4641.66256,4641.60909,4641.66256,250.0
2026-04-06 01:16:00,4641.33549,4641.67252,4637.80579,4637.80579,1783.2673842660415
2026-04-06 01:17:00,4636.84071,4637.7887,4632.70873,4632.70873,2183.984591639454
2026-04-06 01:18:00,4632.08012,4632.84688,4629.57075,4629.57075,1319.0628422340353
2026-04-06 01:19:00,4629.23444,4629.62963,4626.96666,4626.96666,1061.9321161320274
2026-04-06 01:20:00,4626.56296,4627.05904,4623.60914,4623.60914,1362.70811526106
2026-04-06 01:21:00,4623.72814,4625.169,4623.60625,4624.58151,623.1893016012888
2026-04-06 01:22:00,4623.45505,4632.30318,4623.45505,4632.30318,3495.005233741102
2026-04-06 01:23:00,4631.98612,4634.10934,4631.34494,4634.10934,1085.6259805643967
2026-04-06 01:24:00,4634.0068,4634.07533,4633.9203,4634.03913,250.0
2026-04-06 01:25:00,4633.92054,4634.14102,4633.92054,4634.00439,250.0
